Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,Requisito,1R,2R,NF,1F,2F,3F,Materias cursadas
1775,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,0,7,14,4,1,1,22,24,0,0,0,0,5
1775,13015,ESTATICA,MCT-PLS13 ,3,1,2018,1,0,2018,7,18,4,1,1,38,0,1,0,1,0,5
1775,13015,ESTATICA,IND-PLS13 ,3,1,2019,1,1,2019,16,18,7,1,1,0,0,3,1,3,0,4
1777,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,8
1777,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,4,0,2,1,0,0,0,0,0,0,0,6
1777,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,0,0,2,1,0,0,0,0,0,0,0,8
1778,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,1,2018,21,14,7,1,1,48,0,4,0,4,0,6
1779,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,1,2018,17,25,10,1,1,58,0,5,0,5,0,6
1780,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,2021,12,5,2,1,1,34,0,1,0,1,1,5
1780,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,1,2021,19,13,2,1,1,0,0,3,3,0,0,6
1781,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,2022,12,14,9,1,1,0,0,0,0,0,0,6
